Pnt,Average, Average (uV),Buffer1,Buffer1 (uV),Buffer2,Buffer2 (uV)
-5.00,93327,695,99529,1.483,-6202,-92
-4.95,104035,775,100425,1.496,3610,54
-4.90,114349,852,113393,1.690,956,14
-4.85,106817,796,113451,1.691,-6634,-99
-4.80,98516,734,108097,1.611,-9581,-143
-4.75,94739,706,120836,1.801,-26097,-389
-4.70,79943,596,124182,1.851,-44239,-659
-4.65,70270,524,122154,1.820,-51884,-773
-4.60,67561,503,123379,1.839,-55818,-832
-4.55,77941,581,131482,1.959,-53541,-798
-4.50,60383,450,131384,1.958,-71001,-1.058
-4.45,59575,444,146799,2.188,-87224,-1.300
-4.40,60039,447,160861,2.397,-100822,-1.502
-4.35,56279,419,164637,2.453,-108358,-1.615
-4.30,35111,262,158247,2.358,-123136,-1.835
-4.25,47252,352,172430,2.569,-125178,-1.865
-4.20,68678,512,174371,2.598,-105693,-1.575
-4.15,64942,484,165038,2.459,-100096,-1.492
-4.10,60935,454,148409,2.212,-87474,-1.304
-4.05,44343,330,119542,1.781,-75199,-1.121
-4.00,43198,322,112912,1.683,-69714,-1.039
-3.95,40401,301,107774,1.606,-67373,-1.004
-3.90,38793,289,89239,1.330,-50446,-752
-3.85,47874,357,81686,1.217,-33812,-504
-3.80,22241,166,63428,945,-41187,-614
-3.75,-5085,-38,48259,719,-53344,-795
-3.70,29299,218,62071,925,-32772,-488
-3.65,29317,218,69154,1.031,-39837,-594
-3.60,25294,188,69869,1.041,-44575,-664
-3.55,29641,221,74819,1.115,-45178,-673
-3.50,14551,108,75816,1.130,-61265,-913
-3.45,13784,103,72466,1.080,-58682,-874
-3.40,43121,321,90242,1.345,-47121,-702
-3.35,48962,365,81302,1.212,-32340,-482
-3.30,43046,321,61018,909,-17972,-268
-3.25,54680,407,68274,1.017,-13594,-203
-3.20,48485,361,63206,942,-14721,-219
-3.15,54254,404,49102,732,5152,77
-3.10,62794,468,38834,579,23960,357
-3.05,52901,394,35330,526,17571,262
-3.00,35696,266,24848,370,10848,162
-2.95,40848,304,28847,430,12001,179
-2.90,42467,316,17781,265,24686,368
-2.85,41411,309,7421,111,33990,507
-2.80,43948,327,-2509,-37,46457,692
-2.75,36115,269,-29189,-435,65304,973
-2.70,44553,332,-40525,-604,85078,1.268
-2.65,38904,290,-31527,-470,70431,1.050
-2.60,14463,108,-35067,-523,49530,738
-2.55,1121,8,-50006,-745,51127,762
-2.50,10231,76,-40070,-597,50301,750
-2.45,57826,431,-14383,-214,72209,1.076
-2.40,55536,414,-27631,-412,83167,1.239
-2.35,35925,268,-25440,-379,61365,914
-2.30,45009,335,-19111,-285,64120,955
-2.25,33355,249,-38251,-570,71606,1.067
-2.20,10446,78,-54906,-818,65352,974
-2.15,22338,166,-46734,-696,69072,1.029
-2.10,49645,370,-34579,-515,84224,1.255
-2.05,55694,415,-36705,-547,92399,1.377
-2.00,47494,354,-55873,-833,103367,1.540
-1.95,27010,201,-65041,-969,92051,1.372
-1.90,33944,253,-59587,-888,93531,1.394
-1.85,36868,275,-54330,-810,91198,1.359
-1.80,18513,138,-71328,-1.063,89841,1.339
-1.75,46951,350,-70333,-1.048,117284,1.748
-1.70,45650,340,-77297,-1.152,122947,1.832
-1.65,46339,345,-86785,-1.293,133124,1.984
-1.60,32846,245,-91417,-1.362,124263,1.852
-1.55,42299,315,-88024,-1.312,130323,1.942
-1.50,42579,317,-110054,-1.640,152633,2.274
-1.45,36527,272,-109649,-1.634,146176,2.178
-1.40,57656,430,-86361,-1.287,144017,2.146
-1.35,84447,629,-62880,-937,147327,2.195
-1.30,66260,494,-61507,-917,127767,1.904
-1.25,26637,198,-79717,-1.188,106354,1.585
-1.20,30091,224,-63806,-951,93897,1.399
-1.15,22359,167,-59504,-887,81863,1.220
-1.10,4042,30,-71796,-1.070,75838,1.130
-1.05,15873,118,-59400,-885,75273,1.122
-1.00,29862,222,-42341,-631,72203,1.076
-0.95,25479,190,-48437,-722,73916,1.101
-0.90,31210,233,-56238,-838,87448,1.303
-0.85,21973,164,-56310,-839,78283,1.167
-0.80,4600,34,-69575,-1.037,74175,1.105
-0.75,-72440,-540,-112329,-1.674,39889,594
-0.70,-171150,-1.275,-156324,-2.329,-14826,-221
-0.65,-52377,-390,-98211,-1.464,45834,683
-0.60,94509,704,-17810,-265,112319,1.674
-0.55,98965,737,-792,-12,99757,1.487
-0.50,83842,625,-7383,-110,91225,1.359
-0.45,71068,530,-8895,-133,79963,1.192
-0.40,57488,428,-8895,-133,66383,989
-0.35,65915,491,8959,134,56956,849
-0.30,57699,430,22084,329,35615,531
-0.25,47800,356,22109,329,25691,383
-0.20,43916,327,20241,302,23675,353
-0.15,40359,301,41908,624,-1549,-23
-0.10,57169,426,55989,834,1180,18
-0.05,67477,503,63137,941,4340,65
0.00,56654,422,65602,978,-8948,-133
0.05,47046,351,67813,1.011,-20767,-309
0.10,55860,416,69976,1.043,-14116,-210
0.15,82304,613,81538,1.215,766,11
0.20,75616,563,82522,1.230,-6906,-103
0.25,87368,651,87991,1.311,-623,-9
0.30,82062,611,91995,1.371,-9933,-148
0.35,67042,500,82845,1.235,-15803,-235
0.40,27081,202,61846,922,-34765,-518
0.45,17238,128,67630,1.008,-50392,-751
0.50,74450,555,84238,1.255,-9788,-146
0.55,231924,1.728,158774,2.366,73150,1.090
0.60,366656,2.732,236972,3.531,129684,1.933
0.65,385381,2.871,256781,3.826,128600,1.916
0.70,295229,2.200,225395,3.359,69834,1.041
0.75,209492,1.561,187362,2.792,22130,330
0.80,134069,999,162520,2.422,-28451,-424
0.85,68853,513,139790,2.083,-70937,-1.057
0.90,44313,330,121608,1.812,-77295,-1.152
0.95,63645,474,153359,2.285,-89714,-1.337
1.00,80869,603,170068,2.534,-89199,-1.329
01.05,98724,736,178501,2.660,-79777,-1.189
1.10,107985,805,185239,2.760,-77254,-1.151
1.15,150894,1.124,217408,3.240,-66514,-991
1.20,225517,1.680,261353,3.895,-35836,-534
1.25,293924,2.190,284210,4.235,9714,145
1.30,349457,2.604,317896,4.737,31561,470
1.35,366004,2.727,332779,4.959,33225,495
1.40,357635,2.665,312162,4.652,45473,678
