"[-1.052, 0.682, -0.117, -0.794, 0.145, -0.008],""[-1.031, -0.06, 0.134, 3.702, -3.046, -0.672]"""
"[-1.052, 0.682, -0.117, -0.794, 0.145, -0.008],""[-1.031, -0.06, 0.134, 3.702, -3.046, -0.672]"""
"[-1.052, 0.682, -0.117, -0.794, 0.145, -0.008],""[-1.031, -0.06, 0.134, 3.702, -3.046, -0.672]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.031, -0.06, 0.134, 3.702, -3.046, -0.672]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.064, 0.684, -0.106, -1.023, 0.084, -0.038],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.039, -0.072, 0.09, 3.664, -2.977, -0.634]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.044, 0.646, -0.124, -1.802, -0.168, 0.069],""[-1.012, -0.121, 0.06, 3.733, -3.069, -0.71]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.047, 0.66, -0.118, -1.374, -0.244, 0.183],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.037, -0.095, 0.113, 3.679, -3.084, -0.618]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
